Player,Age,Nat.,Club,Market value,minutes_played,goals,assists,position,foot,height_in_cm,overall,potential,total_gk,total_stats,pace,shooting,passing,dribbling,defending,physical,cost
Jude Bellingham,21,England,Real Madrid,180.0,13820.0,47.0,38.0,Midfield,right,186.0,88.0,92.0,48.0,2295.0,80.0,83.0,81.0,87.0,78.0,83.0,128.5
Florian Wirtz,21,Germany,Bayer 04 Leverkusen,130.0,10929.0,41.0,50.0,Midfield,right,177.0,87.0,92.0,57.0,2089.0,80.0,76.0,86.0,88.0,50.0,63.0,118.5
Jamal Musiala,21,Germany,Bayern Munich,130.0,9175.0,43.0,31.0,Midfield,right,184.0,86.0,93.0,42.0,2090.0,85.0,75.0,76.0,91.0,63.0,61.0,134.5
Eduardo Camavinga,21,France,Real Madrid,100.0,13733.0,4.0,13.0,Midfield,left,182.0,83.0,90.0,50.0,2197.0,80.0,67.0,81.0,84.0,78.0,80.0,71.5
Xavi Simons,21,Netherlands,RB Leipzig,80.0,7397.0,32.0,27.0,Midfield,right,179.0,82.0,89.0,43.0,2139.0,87.0,77.0,78.0,85.0,61.0,74.0,60.5
Rasmus Højlund,21,Denmark,Manchester United,65.0,5388.0,27.0,6.0,Attack,left,191.0,78.0,89.0,50.0,1869.0,84.0,77.0,58.0,74.0,33.0,83.0,31.0
Warren Zaïre-Emery,18,France,Paris Saint-Germain,60.0,3956.0,5.0,6.0,Midfield,right,178.0,80.0,90.0,55.0,2113.0,79.0,68.0,76.0,79.0,75.0,78.0,43.5
Kobbie Mainoo,19,England,Manchester United,55.0,2492.0,5.0,1.0,Midfield,right,180.0,72.0,87.0,49.0,1923.0,74.0,60.0,68.0,77.0,68.0,69.0,5.0
Leny Yoro,18,France,Manchester United,50.0,3610.0,3.0,0.0,Defender,right,190.0,77.0,86.0,53.0,1740.0,73.0,41.0,58.0,61.0,78.0,73.0,20.0
Bradley Barcola,21,France,Paris Saint-Germain,50.0,3908.0,10.0,20.0,Attack,right,182.0,80.0,87.0,43.0,1925.0,86.0,74.0,75.0,80.0,34.0,64.0,42.0
Evan Ferguson,19,Ireland,Brighton & Hove Albion,50.0,3143.0,16.0,5.0,Attack,right,188.0,74.0,86.0,54.0,1729.0,72.0,74.0,62.0,70.0,21.0,70.0,10.0
Levi Colwill,21,England,Chelsea FC,50.0,4049.0,1.0,3.0,Defender,left,187.0,76.0,83.0,61.0,1841.0,72.0,40.0,68.0,68.0,76.0,76.0,14.0
Arda Güler,19,Türkiye,Real Madrid,45.0,2030.0,14.0,8.0,Attack,left,175.0,77.0,88.0,58.0,1964.0,72.0,70.0,80.0,82.0,52.0,50.0,22.0
Giorgio Scalvini,20,Italy,Atalanta BC,45.0,6569.0,5.0,5.0,Defender,right,194.0,77.0,87.0,45.0,1672.0,64.0,35.0,57.0,61.0,78.0,74.0,21.0
Pape Matar Sarr,21,Senegal,Tottenham Hotspur,45.0,6290.0,7.0,7.0,Midfield,right,184.0,78.0,84.0,52.0,2030.0,70.0,65.0,75.0,78.0,74.0,75.0,21.5
Johan Bakayoko,21,Belgium,PSV Eindhoven,45.0,5718.0,21.0,19.0,Attack,left,179.0,78.0,88.0,43.0,1837.0,87.0,69.0,69.0,81.0,31.0,64.0,31.0
Destiny Udogie,21,Italy,Tottenham Hotspur,45.0,8283.0,10.0,10.0,Defender,left,188.0,81.0,86.0,57.0,2104.0,88.0,65.0,73.0,79.0,76.0,80.0,35.5
Ousmane Diomande,20,Cote d'Ivoire,Sporting CP,40.0,4222.0,5.0,1.0,Defender,right,190.0,78.0,86.0,41.0,1696.0,74.0,26.0,53.0,73.0,77.0,83.0,28.5
Mathys Tel,19,France,Bayern Munich,40.0,2056.0,16.0,6.0,Attack,right,183.0,75.0,88.0,54.0,1830.0,82.0,78.0,64.0,77.0,28.0,60.0,13.0
Castello Lukeba,21,France,RB Leipzig,40.0,8590.0,5.0,0.0,Defender,left,184.0,79.0,86.0,56.0,1889.0,74.0,43.0,68.0,72.0,80.0,77.0,32.0
Rico Lewis,19,England,Manchester City,38.0,3036.0,3.0,4.0,Defender,right,169.0,75.0,86.0,55.0,1880.0,76.0,46.0,73.0,79.0,70.0,59.0,11.5
Elye Wahi,21,France,Olympique Marseille,35.0,7163.0,44.0,13.0,Attack,right,181.0,77.0,84.0,51.0,1919.0,84.0,79.0,67.0,79.0,31.0,67.0,21.0
Malo Gusto,21,France,Chelsea FC,35.0,6402.0,0.0,15.0,Defender,right,178.0,78.0,86.0,49.0,1984.0,87.0,49.0,72.0,77.0,71.0,75.0,29.5
Harvey Elliott,21,England,Liverpool FC,35.0,5876.0,10.0,13.0,Midfield,left,170.0,77.0,85.0,47.0,1940.0,75.0,67.0,76.0,81.0,53.0,57.0,23.0
Tino Livramento,21,England,Newcastle United,35.0,4333.0,2.0,3.0,Defender,right,182.0,77.0,85.0,56.0,1948.0,81.0,50.0,68.0,78.0,74.0,72.0,22.0
Désiré Doué,19,France,Paris Saint-Germain,30.0,3297.0,8.0,6.0,Attack,both,181.0,74.0,85.0,46.0,1855.0,78.0,68.0,69.0,80.0,48.0,63.0,9.0
Jorrel Hato,18,Netherlands,Ajax Amsterdam,30.0,4546.0,1.0,3.0,Defender,left,182.0,73.0,88.0,40.0,1820.0,85.0,39.0,66.0,71.0,73.0,69.0,6.5
Kenan Yıldız,19,Türkiye,Juventus FC,30.0,1086.0,4.0,1.0,Attack,both,187.0,66.0,83.0,56.0,1675.0,75.0,58.0,65.0,72.0,28.0,61.0,2.2
Aleksandar Pavlovic,20,Germany,Bayern Munich,30.0,1435.0,2.0,2.0,Midfield,both,188.0,70.0,84.0,46.0,1777.0,62.0,55.0,69.0,69.0,67.0,61.0,3.6
Adam Wharton,20,England,Crystal Palace,30.0,1560.0,0.0,3.0,Midfield,left,182.0,76.0,85.0,47.0,2009.0,68.0,61.0,77.0,76.0,71.0,70.0,15.0
Bilal El Khannouss,20,Morocco,KRC Genk,30.0,4915.0,4.0,9.0,Midfield,right,180.0,74.0,86.0,53.0,1764.0,71.0,60.0,75.0,80.0,37.0,54.0,10.0
Maximilian Beier,21,Germany,Borussia Dortmund,30.0,2784.0,18.0,4.0,Attack,right,185.0,76.0,84.0,41.0,1813.0,91.0,76.0,63.0,78.0,25.0,58.0,16.5
Hugo Larsson,20,Sweden,Eintracht Frankfurt,28.0,2063.0,2.0,2.0,Midfield,right,187.0,73.0,85.0,48.0,1896.0,76.0,62.0,66.0,73.0,64.0,75.0,7.0
Arthur Vermeeren,19,Belgium,Atlético de Madrid,25.0,4511.0,2.0,7.0,Midfield,right,180.0,76.0,87.0,45.0,1952.0,75.0,55.0,75.0,77.0,71.0,69.0,15.0
Michael Kayode,20,Italy,ACF Fiorentina,25.0,2489.0,1.0,2.0,Defender,right,179.0,66.0,82.0,53.0,1593.0,69.0,34.0,50.0,65.0,67.0,60.0,2.1
Lesley Ugochukwu,20,France,Southampton FC,25.0,2947.0,1.0,1.0,Midfield,right,190.0,72.0,82.0,57.0,1917.0,65.0,57.0,69.0,71.0,72.0,75.0,5.0
Matías Soulé,21,Argentina,AS Roma,25.0,3802.0,12.0,3.0,Attack,left,182.0,76.0,87.0,63.0,1869.0,76.0,69.0,74.0,81.0,36.0,50.0,16.5
Oscar Bobb,21,Norway,Manchester City,25.0,819.0,2.0,2.0,Attack,left,175.0,68.0,82.0,55.0,1656.0,80.0,61.0,63.0,74.0,33.0,42.0,2.9
Rayan Cherki,21,France,Olympique Lyon,25.0,5158.0,8.0,19.0,Midfield,both,180.0,74.0,84.0,43.0,1749.0,68.0,67.0,72.0,84.0,21.0,61.0,9.0
Carlos Baleba,20,Cameroon,Brighton & Hove Albion,22.0,2015.0,0.0,2.0,Midfield,left,179.0,70.0,82.0,52.0,1839.0,77.0,51.0,63.0,72.0,65.0,70.0,3.6
Lewis Miley,18,England,Newcastle United,22.0,1743.0,1.0,4.0,Midfield,right,189.0,70.0,85.0,45.0,1815.0,63.0,61.0,69.0,72.0,60.0,65.0,3.6
Jarell Quansah,21,England,Liverpool FC,22.0,2494.0,3.0,3.0,Defender,right,190.0,72.0,82.0,44.0,1685.0,73.0,33.0,56.0,65.0,72.0,75.0,4.8
Yunus Musah,21,United States,AC Milan,22.0,6229.0,3.0,5.0,Midfield,right,178.0,75.0,83.0,51.0,2095.0,88.0,69.0,71.0,80.0,71.0,84.0,12.5
Youssoufa Moukoko,19,Germany,Borussia Dortmund,22.0,3162.0,18.0,8.0,Attack,left,179.0,77.0,87.0,60.0,1857.0,80.0,75.0,59.0,80.0,34.0,65.0,22.5
Alex Scott,21,England,AFC Bournemouth,20.0,1384.0,2.0,4.0,Midfield,right,178.0,72.0,84.0,54.0,1962.0,74.0,62.0,72.0,77.0,63.0,68.0,5.5
Milos Kerkez,20,Hungary,AFC Bournemouth,20.0,5706.0,3.0,5.0,Defender,left,180.0,75.0,85.0,57.0,1925.0,82.0,53.0,66.0,73.0,69.0,74.0,11.5
Brajan Gruda,20,Germany,Brighton & Hove Albion,20.0,1742.0,4.0,3.0,Attack,left,178.0,70.0,86.0,50.0,1793.0,78.0,68.0,65.0,77.0,30.0,58.0,4.1
Jhon Durán,20,Colombia,Aston Villa,20.0,786.0,6.0,0.0,Attack,left,185.0,72.0,82.0,36.0,1756.0,79.0,72.0,58.0,71.0,32.0,77.0,5.0
Facundo Buonanotte,19,Argentina,Leicester City,18.0,2493.0,5.0,2.0,Midfield,left,174.0,71.0,82.0,47.0,1678.0,75.0,65.0,68.0,73.0,25.0,50.0,4.0
Ernest Nuamah,20,Ghana,Olympique Lyon,18.0,4287.0,18.0,7.0,Attack,left,178.0,74.0,84.0,52.0,1745.0,85.0,67.0,63.0,79.0,24.0,62.0,9.0
Guillaume Restes,19,France,FC Toulouse,18.0,3870.0,0.0,0.0,Goalkeeper,left,188.0,75.0,87.0,374.0,1100.0,76.0,72.0,75.0,78.0,36.0,73.0,11.5
Habib Diarra,20,Senegal,RC Strasbourg Alsace,18.0,4048.0,6.0,4.0,Midfield,right,178.0,72.0,84.0,42.0,1909.0,69.0,63.0,69.0,73.0,68.0,71.0,5.5
Farès Chaïbi,21,Algeria,Eintracht Frankfurt,18.0,4496.0,7.0,12.0,Midfield,right,183.0,76.0,86.0,58.0,2027.0,73.0,69.0,76.0,74.0,68.0,71.0,16.5
Lewis Hall,19,England,Newcastle United,18.0,1790.0,2.0,0.0,Defender,left,179.0,68.0,83.0,53.0,1860.0,71.0,59.0,69.0,71.0,65.0,57.0,2.7
James Trafford,21,England,Burnley FC,18.0,2520.0,0.0,0.0,Goalkeeper,right,197.0,71.0,84.0,351.0,1034.0,70.0,69.0,69.0,73.0,27.0,70.0,4.0
Arsen Zakharyan,21,Russia,Real Sociedad,18.0,8702.0,20.0,27.0,Midfield,right,183.0,74.0,85.0,60.0,1938.0,79.0,70.0,74.0,72.0,53.0,60.0,9.5
Zeno Debast,20,Belgium,Sporting CP,18.0,6073.0,0.0,1.0,Defender,right,191.0,73.0,84.0,38.0,1859.0,66.0,53.0,70.0,69.0,73.0,73.0,6.0
